Name,Insta Handle,Twitter Handles,Final Insta,Final Twitter
Sanjana Sanghi,sanjanasanghi96,sanjanasanghi96,1.18,1.35
Sanjay Dutt,duttsanjay,duttsanjay,0.94,1.02
Sanya Malhotra,sanyamalhotra_,sanyamalhotra07,0.71,0.11
Sara Ali Khan,saraalikhan95,isaraalikhan,1.05,0.02
Shah Rukh Khan,iamsrk,iamsrk,1.22,1.91
Shahid Kapoor,shahidkapoor,shahidkapoor,1.01,1.26
Shraddha Kapoor,shraddhakapoor,ShraddhaKapoor,1.32,1.16
Shreyas Talpade,shreyastalpade27,shreyastalpade1,0.38,0.13
Shruti Haasan,shrutzhaasan,shrutihaasan,1.2,0.85
Sidharth Malhotra,sidmalhotra,SidMalhotra,0.59,1.17
Sonakshi Sinha,aslisona,,0.84,0
Sonam Kapoor Ahuja,sonamkapoor,sonamakapoor,1.31,1.35
Sonu Sood,sonu_sood,SonuSood,0.72,2.05
Sunny Leone,sunnyleone,SunnyLeone,1.61,1.15
Taapsee Pannu,taapsee,taapsee,0.71,1.01
Tamannaah Bhatia,tamannaahspeaks,tamannaahspeaks,0.63,1.08
Tara Sutaria,tarasutaria,tarasutaria,0.99,0.26
Tiger Shroff,tigerjackieshroff,iTIGERSHROFF,0.91,0.26
Urvashi Rautela,urvashirautela,UrvashiRautela,1.46,1.02
Vaani Kapoor,_vaanikapoor_,vaaniofficial,0.75,0.84
Varun Dhawan,varundvn,varun_dvn,1.05,1.14
Vicky Kaushal,vickykaushal09,vickykaushal09,1.23,1.46
Vidya Balan,balanvidya,vidya_balan,0.3,0.32
Vidyut Jammwal,mevidyutjammwal,VidyutJammwal,0.61,1.31
Yami Gautam,yamigautam,yamigautam,0.5,0.38
